source,target
RFC 1826,RFC 2402
RFC 4655,RFC 4657
RFC 1341,RFC 1340
ITU G.657,ITU G.650.2
ITU X.520,ITU X.509
ITU P.380,ITU P.57
ITU Y.1241,ITU Y.1311
RFC 1483,RFC 2212
ITU E.163,ITU E.164
ITU Q.2962,ITU I.371
ITU V.34,ITU H.248.1
ITU G.961,ITU G.994.1
RFC 1340,RFC 1583
ITU A.4,ITU A.5
RFC 680,RFC 713
ISO 8802-2,ITU H.248.1
RFC 562,RFC 580
RFC 1237,RFC 1518
ITU F.69,ISO 8348
RFC 1066,RFC 1212
RFC 1036,RFC 1700
ITU G.763,ITU G.114
ITU X.903,ITU G.851.1
RFC 3315,RFC 5226
RFC 4301,ITU Y.2111
RFC 3410,ITU Q.812
ITU T.125,ITU H.225.0
ITU K.35,ITU K.40
ITU Q.2130,ITU T.123
ITU E.191.1,ISO 8348
ITU G.109,ITU G.114
ITU X.217,ITU X.701
RFC 5226,ITU H.248.1
ITU G.801,ITU G.826
ISO 10746-2,ITU G.851.1
ITU X.224,ISO 8348
RFC 2702,ITU Y.2111
ITU G.992.5,ITU G.997.1
RFC 1583,RFC 1700
ITU G.828,ITU G.806
ITU P.862,ITU P.10
ITU G.987.2,ITU G.652
RFC 1981,RFC 3032
ISO 10089,ISO 13842
ITU V.18,ITU H.248.1
ITU G.8261,ITU G.8260
ITU I.311,ITU I.371
ISO 10164-5,ITU X.701
RFC 2028,RFC 3979
ITU G.902,ITU G.983.1
ITU J.112,ITU G.9960
RFC 1009,RFC 1812
ITU G.9964,ITU G.9960
ISO 9594-6,ITU X.509
ISO 10165-6,ITU M.3010
ITU X.810,ITU X.903
RFC 3168,RFC 4960
RFC 3022,RFC 4787
ITU G.121,ITU G.131
ITU K.56,ITU K.11
RFC 777,RFC 778
RFC 1421,RFC 2045
RFC 2078,ITU T.123
ITU Q.821,ITU M.3100
RFC 1827,RFC 2406
ITU Q.1218,ITU Q.2761
ITU I.363.2,ITU H.248.1
ITU BS.1698,ITU K.52
ITU Q.812,ITU M.3010
ITU Q.1290,ITU Q.1218
ISO 9646-2,ITU X.290
